champion,patch,id_postaci
Darius,15.05,583
Syndra,15.05,584
Corki,15.05,585
Leona,15.05,586
Camille,15.05,587
Vi,15.05,588
Mel,15.05,589
Varus,15.05,590
Rakan,15.05,591
Volibear,15.05,592
Skarner,15.05,593
Yone,15.05,594
Ezreal,15.05,595
Karma,15.05,596
Jayce,15.05,597
Wukong,15.05,598
Ahri,15.05,599
Tristana,15.05,600
Amumu,15.05,601
Diana,15.05,602
Jarvan Iv,15.05,603
Malphite,15.05,604
Jhin,15.05,605
Galio,15.05,606
Ornn,15.05,607
Maokai,15.05,608
Ambessa,15.05,609
Alistar,15.05,610
Zyra,15.05,611
Akali,15.05,612
Sejuani,15.05,613
Miss Fortune,15.05,614
Aurelion Sol,15.05,615
Nocturne,15.05,616
Taliyah,15.05,617
Lucian,15.05,618
Nami,15.05,619
Xin Zhao,15.05,620
Zeri,15.05,621
Yuumi,15.05,622
Rumble,15.05,623
Kai'Sa,15.05,624
Neeko,15.05,625
Fiora,15.05,626
Aatrox,15.05,627
Poppy,15.05,628
Jax,15.05,629
Kennen,15.05,630
Gragas,15.05,631
Orianna,15.05,632
Renata Glasc,15.05,633
Nidalee,15.05,634
Viktor,15.05,635
Sion,15.05,636
Olaf,15.05,637
Sylas,15.05,638
Lee Sin,15.05,639
Kindred,15.05,640
Vladimir,15.05,641
Zed,15.05,642
Xayah,15.05,643
Blitzcrank,15.05,644
Yasuo,15.05,645
Viego,15.05,646
Lillia,15.05,647
Irelia,15.05,648
Karthus,15.05,649
Gwen,15.05,650
Ziggs,15.05,651
Gangplank,15.05,652
Ryze,15.05,653
Draven,15.05,654
Caitlyn,15.05,655
Kayle,15.05,656
Pyke,15.05,657
Cassiopeia,15.05,658
Quinn,15.05,659
Kassadin,15.05,660
Thresh,15.05,661
Nilah,15.05,662
Senna,15.05,663
Bard,15.05,664
Sett,15.05,665
Nunu & Willump,15.05,666
Jinx,15.05,667
Lulu,15.05,668
Bel'Veth,15.05,669
Singed,15.05,670
Garen,15.05,671
Shen,15.05,672
Rammus,15.05,673
Cho'Gath,15.05,674
Tahm Kench,15.05,675
Swain,15.05,676
Twisted Fate,15.05,677
Qiyana,15.05,678
Fiddlesticks,15.05,679
Mordekaiser,15.05,680
Kog'Maw,15.05,681
Anivia,15.05,682
Taric,15.05,683
Samira,15.05,684
Elise,15.05,685
Lux,15.05,686
Soraka,15.05,687
Leblanc,15.05,688
Vayne,15.05,689
Janna,15.05,690
Zac,15.05,691
Dr. Mundo,15.05,692
Aphelios,15.05,693
Kayn,15.05,694
Trundle,15.05,695
Zoe,15.05,696
Zilean,15.05,697
Milio,15.05,698
Ambessa,15.06,699
Vi,15.06,700
Aurora,15.06,701
Varus,15.06,702
Leona,15.06,703
Aatrox,15.06,704
Wukong,15.06,705
Azir,15.06,706
Ezreal,15.06,707
Alistar,15.06,708
,15.06,709
Jayce,15.06,710
Corki,15.06,711
Rell,15.06,712
Sejuani,15.06,713
Yone,15.06,714
Gnar,15.06,715
Maokai,15.06,716
Karma,15.06,717
K'Sante,15.06,718
Skarner,15.06,719
Viktor,15.06,720
Zyra,15.06,721
Mordekaiser,15.06,722
Yasuo,15.06,723
Miss Fortune,15.06,724
Rumble,15.06,725
Galio,15.06,726
Aphelios,15.06,727
Braum,15.06,728
Renekton,15.06,729
Xin Zhao,15.06,730
Orianna,15.06,731
Leblanc,15.06,732
Kai'Sa,15.06,733
Rakan,15.06,734
Viego,15.06,735
Xayah,15.06,736
Camille,15.06,737
Kindred,15.06,738
Vladimir,15.06,739
Gragas,15.06,740
Kalista,15.06,741
Renata Glasc,15.06,742
Nocturne,15.06,743
Ashe,15.06,744
Nautilus,15.06,745
Lillia,15.06,746
Ziggs,15.06,747
Sylas,15.06,748
Jax,15.06,749
Taliyah,15.06,750
Tristana,15.06,751
Thresh,15.06,752
Jhin,15.06,753
Olaf,15.06,754
Blitzcrank,15.06,755
Syndra,15.06,756
Ornn,15.06,757
Karthus,15.06,758
Lucian,15.06,759
Nami,15.06,760
Kayn,15.06,761
Naafiri,15.06,762
Bard,15.06,763
Hwei,15.06,764
Graves,15.06,765
Poppy,15.06,766
Akali,15.06,767
Udyr,15.06,768
Seraphine,15.06,769
Ahri,15.06,770
Qiyana,15.06,771
Elise,15.06,772
Gwen,15.06,773
Pantheon,15.06,774
Akshan,15.06,775
Senna,15.06,776
Neeko,15.06,777
Diana,15.06,778
Jinx,15.06,779
Caitlyn,15.06,780
Lux,15.06,781
Tryndamere,15.06,782
Jarvan Iv,15.06,783
Smolder,15.06,784
Sivir,15.06,785
Nidalee,15.06,786
Janna,15.06,787
Cassiopeia,15.06,788
Draven,15.06,789
Shen,15.06,790
Ivern,15.06,791
Ryze,15.06,792
Twitch,15.05,793
Lee Sin,15.06,794
Tryndamere,15.05,795
Lissandra,15.05,796
Lulu,15.06,797
Malphite,15.06,798
Zoe,15.06,799
Zeri,15.06,800
Sion,15.06,801
